stop_id,trip_id,stop_sequence,arrival_time,departure_time,boarding_duration,alighting_duration,pickup_type,drop_off_type,local_zone_id,stop_headsign,stop_time_id,stop_time_precision
NATM,M1F1,0,00:00:00,00:00:00,0,0,0,1,,,,0
GDLM,M1F1,1,00:10:00,00:10:00,0,0,0,0,,,,0
CHAM,M1F1,2,00:20:00,00:20:00,0,0,0,0,,,,0
CDGM,M1F1,3,00:40:00,00:40:00,0,0,1,0,,,,0
NATM,M1B1,9,00:30:00,00:30:00,0,0,1,0,,,,0
GDLM,M1B1,8,00:20:00,00:20:00,0,0,0,0,,,,0
CHAM,M1B1,7,00:10:00,00:10:00,0,0,0,0,,,,0
CDGM,M1B1,6,00:00:00,00:00:00,0,0,0,1,,,,0
GDLB,B42F1,10,10:10:00,10:10:00,0,0,0,1,,,,0
MTPB,B42F1,20,10:20:00,10:20:00,0,0,1,0,,,,0
GDLB,B42B1,30,07:10:00,07:10:00,0,0,1,0,,,,0
MTPB,B42B1,20,07:00:00,07:00:00,0,0,0,1,,,,0
NATR,RERAF1,1,08:09:00,08:10:00,0,0,0,1,,,,0
GDLR,RERAF1,2,08:14:00,08:15:00,0,0,0,0,,,,0
CDGR,RERAF1,3,08:19:00,08:20:00,0,0,0,0,,,,0
DEFR,RERAF1,5,08:24:00,08:25:00,0,0,1,0,,,,0
NATR,RERAB1,21,09:49:00,09:50:00,0,0,1,0,,,,0
GDLR,RERAB1,13,09:44:00,09:45:00,0,0,0,0,,,,0
CDGR,RERAB1,8,09:39:00,09:40:00,0,0,0,0,,,StopTime:RERAB1-8:0,0
DEFR,RERAB1,5,09:24:00,09:25:00,0,0,0,1,,,StopTime:RERAB1-5:1,0
